"EG15_008 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_008.tcf]","Time(h)","F FC01.1_R [EG15_008]","F FC01.2_R [EG15_008]","F FC04.1_C [EG15_008]","F Node20 [EG15_008]","F Node21 [EG15_008]","F Pipe10 [EG15_008]","F Pipe11 [EG15_008]","F Pipe12 [EG15_008]","F Pipe13 [EG15_008]","F Pipe14 [EG15_008]","F Pipe15 [EG15_008]","F Pipe16 [EG15_008]","F Pipe17 [EG15_008]","F Pipe19 [EG15_008]","F Pipe5 [EG15_008]","F Pipe6 [EG15_008]","F Pipe9 [EG15_008]","F Pit10 [EG15_008]","F Pit11 [EG15_008]","F Pit12 [EG15_008]","F Pit13 [EG15_008]","F Pit14 [EG15_008]","F Pit15 [EG15_008]","F Pit16 [EG15_008]","F Pit18 [EG15_008]","F Pit19 [EG15_008]","F Pit2 [EG15_008]","F Pit3 [EG15_008]","F Pit4 [EG15_008]","F Pit5 [EG15_008]","F Pit6 [EG15_008]","F Pit7 [EG15_008]","F Pit8 [EG15_008]","F Pit9 [EG15_008]"
     113,          1.866667,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
     114,          1.883333,A,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
     115,          1.900000,A,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
     116,          1.916667,A,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
     117,          1.933333,A,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
     118,          1.950000,A,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
     119,          1.966667,A,F,A,,,F,F L,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
     120,          1.983333,A,F,A,,,F,F L,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
     121,          2.000000,A,F,A,,,F,F L,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
     122,          2.016667,A,F,A,,,F,F L,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
     123,          2.033334,A,F,A,,,F,F L,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
     124,          2.050000,A,F,A,,,F,F L,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
     125,          2.066667,A,F,A,,,F,F L,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
     126,          2.083333,A,F,A,,,F,F L,F,F,F,F L,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
     127,          2.100000,A,F,A,,,F,F L,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
     128,          2.116667,A,F,A,,,F,F L,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
     129,          2.133333,A,F,A,,,F,F L,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
     130,          2.150000,A,F,A,,,F,F L,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
     131,          2.166667,A,F,A,,,F,F L,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
     132,          2.183333,A,F,A,,,F,F L,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
     133,          2.200000,A,F,A,,,F,F L,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
     134,          2.216667,A,F,A,,,F,F L,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
     135,          2.233333,A,F,A,,,F,F L,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
     136,          2.250000,A,F,A,,,F,F L,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
     137,          2.266667,A,F,A,,,F,F L,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
     138,          2.283334,A,F,A,,,F,F L,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
