"EG11_009 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_009.tcf]","Time (h)","H FC01.1_R.1 [EG11_009]","H FC01.1_R.2 [EG11_009]","H FC01.2_R.1 [EG11_009]","H FC01.2_R.2 [EG11_009]","H FC04.1_C.1 [EG11_009]","H FC04.1_C.2 [EG11_009]","H OC999.8 [EG11_009]","H OC999.9 [EG11_009]"
     131,          2.166667,     46.8827,     45.7537,     40.1046,     39.8381,     43.3490,     42.7490,     42.4765,     40.1786
     132,          2.183333,     46.8498,     45.7269,     39.9954,     39.7648,     43.3490,     42.7490,     42.4783,     40.0766
     133,          2.200000,     46.8155,     45.7016,     39.8938,     39.6932,     43.3490,     42.7490,     42.4801,     39.9844
     134,          2.216667,     46.7873,     45.6773,     39.8019,     39.6253,     43.3490,     42.7490,     42.4819,     39.9030
     135,          2.233333,     46.7640,     45.6561,     39.7208,     39.5629,     43.3490,     42.7490,     42.4836,     39.8329
     136,          2.250000,     46.7439,     45.6374,     39.6487,     39.5063,     43.3490,     42.7490,     42.4853,     39.7714
     137,          2.266667,     46.7264,     45.6204,     39.5863,     39.4560,     43.3490,     42.7490,     42.4870,     39.7201
     138,          2.283334,     46.7108,     45.6053,     39.5333,     39.4125,     43.3490,     42.7490,     42.4887,     39.6776
     139,          2.300000,     46.6944,     45.5908,     39.4862,     39.3736,     43.3490,     42.7490,     42.4905,     39.6403
     140,          2.316667,     46.6784,     45.5768,     39.4435,     39.3380,     43.3490,     42.7490,     42.4921,     39.6058
     141,          2.333333,     46.6610,     45.5626,     39.4049,     39.3057,     43.3490,     42.7490,     42.4938,     39.5732
     142,          2.350000,     46.6427,     45.5477,     39.3697,     39.2761,     43.3490,     42.7490,     42.4954,     39.5434
     143,          2.366667,     46.6275,     45.5340,     39.3373,     39.2485,     43.3490,     42.7490,     42.4971,     39.5165
     144,          2.383333,     46.6098,     45.5187,     39.3084,     39.2237,     43.3490,     42.7490,     42.4987,     39.4942
     145,          2.400000,     46.5944,     45.5036,     39.2815,     39.2008,     43.3490,     42.7490,     42.5003,     39.4706
     146,          2.416667,     46.5790,     45.4879,     39.2557,     39.1787,     43.3490,     42.7490,     42.5020,     39.4463
     147,          2.433333,     46.5650,     45.4741,     39.2306,     39.1573,     43.3490,     42.7490,     42.5035,     39.4244
     148,          2.450000,     46.5528,     45.4621,     39.2068,     39.1367,     43.3490,     42.7490,     42.5051,     39.4044
     149,          2.466667,     46.5406,     45.4504,     39.1844,     39.1174,     43.3490,     42.7490,     42.5066,     39.3855
     150,          2.483333,     46.5252,     45.4373,     39.1626,     39.0981,     43.3490,     42.7490,     42.5082,     39.3643
     151,          2.500000,     46.5078,     45.4226,     39.1418,     39.0799,     43.3490,     42.7490,     42.5097,     39.3476
     152,          2.516667,     46.4903,     45.4072,     39.1221,     39.0626,     43.3490,     42.7490,     42.5112,     39.3326
     153,          2.533334,     46.4722,     45.3916,     39.1029,     39.0457,     43.3490,     42.7490,     42.5127,     39.3169
     154,          2.550000,     46.4557,     45.3760,     39.0844,     39.0293,     43.3490,     42.7490,     42.5142,     39.3020
     155,          2.566667,     46.4383,     45.3606,     39.0675,     39.0141,     43.3490,     42.7490,     42.5145,     39.2893
     156,          2.583333,     46.4194,     45.3441,     39.0499,     38.9985,     43.3490,     42.7490,     42.5146,     39.2759
     157,          2.600000,     46.3984,     45.3261,     39.0339,     38.9840,     43.3490,     42.7490,     42.5145,     39.2626
     158,          2.616667,     46.3791,     45.3084,     39.0109,     38.9632,     43.3490,     42.7490,     42.5144,     39.2469
     159,          2.633333,     46.3619,     45.2915,     38.9912,     38.9455,     43.3490,     42.7490,     42.5143,     39.2326
     160,          2.650000,     46.3478,     45.2759,     38.9721,     38.9283,     43.3490,     42.7490,     42.5144,     39.2194
     161,          2.666667,     46.3311,     45.2608,     38.9529,     38.9109,     43.3490,     42.7490,     42.5144,     39.2068
     162,          2.683333,     46.3151,     45.2457,     38.9338,     38.8936,     43.3490,     42.7490,     42.5144,     39.1943
     163,          2.700000,     46.2996,     45.2308,     38.9142,     38.8758,     43.3490,     42.7490,     42.5143,     39.1809
     164,          2.716667,     46.2831,     45.2155,     38.8938,     38.8572,     43.3490,     42.7490,     42.5145,     39.1678
     165,          2.733334,     46.2654,     45.1993,     38.8737,     38.8388,     43.3490,     42.7490,     42.5144,     39.1561
     166,          2.750000,     46.2475,     45.1830,     38.8532,     38.8198,     43.3490,     42.7490,     42.5144,     39.1442
     167,          2.766667,     46.2287,     45.1661,     38.8340,     38.8020,     43.3490,     42.7490,     42.5144,     39.1322
     168,          2.783334,     46.2128,     45.1502,     38.8138,     38.7838,     43.3490,     42.7490,     42.5145,     39.1203
     169,          2.800000,     46.1911,     45.1301,     38.7939,     38.7654,     43.3490,     42.7490,     42.5144,     39.1134
     170,          2.816667,     46.1682,     45.1071,     38.7686,     38.7416,     43.3490,     42.7490,     42.5144,     39.0970
     171,          2.833333,     46.1452,     45.0835,     38.7385,     38.7459,     43.3490,     42.7490,     42.5143,     39.0887
     172,          2.850000,     46.1217,     45.0562,     38.7993,     38.6617,     43.3490,     42.7490,     42.5145,     39.0784
     173,          2.866667,     46.0976,     45.0259,     38.7030,     38.7079,     43.3490,     42.7490,     42.5144,     39.0687
     174,          2.883333,     46.0739,     44.9932,     38.6805,     38.6924,     43.3490,     42.7490,     42.5144,     39.0592
     175,          2.900000,     46.0493,     44.9571,     38.6642,     38.6685,     43.3490,     42.7490,     42.5144,     39.0486
     176,          2.916667,     46.0250,     44.9210,     38.6397,     38.6512,     43.3490,     42.7490,     42.5145,     39.0377
     177,          2.933333,     46.0000,     44.8834,     38.6801,     38.5779,     43.3490,     42.7490,     42.5144,     39.0274
     178,          2.950000,     45.9769,     44.8496,     38.6004,     38.6038,     43.3490,     42.7490,     42.5144,     39.0180
     179,          2.966667,     45.9546,     44.8186,     38.6385,     38.5338,     43.3490,     42.7490,     42.5144,     39.0100
     180,          2.983334,     45.9356,     44.7902,     38.6190,     38.5071,     43.3490,     42.7490,     42.5144,     38.9979
     181,          3.000000,     45.9156,     44.7619,     38.6140,     38.4752,     43.3490,     42.7490,     42.5145,     38.9894
